names,authors,descrips,paragraphs
ulib,fluse1367,"Client or server, Library, Bukkit, BungeeCord, Fabric, Paper, Purpur, Quilt, Spigot, Velocity, Waterfall",general purose library
No More Mineshafts,TYPyz,"Client or server, World Generation, Fabric, Forge, Quilt",This mod removes the generation of Vanilla Mineshafts
Cooperative,qxeii,"Server, Game Mechanics, Social, Utility, Fabric, Quilt",Respawn near your friends!
Nether's Overhaul,Ninjatorrenttt,"Client and server, Adventure, Equipment, Mobs, Forge",??A nether improve! with new mobs and equipment
Packet Ignore Fabric 1.19+ Port,Kevinthegreat,"Server, Cursed, Fabric",CHAOS!
A Watched Pot,aeonic-dev,"Client and server, Cursed, Optimization, Fabric, Forge, Quilt",A watched pot never boils. A watched furnace never... ticks?
Sounds So Cold,LudoCrypt,"Client, Cursed, Quilt",Applies the Undertale So Cold effect to the music!
Kreezxil's Compressed Blocks,kreezxil,"Client and server, Decoration, Storage, Utility, Forge","When there are too many blocks to store in a chest, compress them!"
Re-disc-tribution,WerDei,"Adventure, Game Mechanics, Mobs, Data Pack, Fabric, Forge, Quilt",Changes where older music discs can be found in the game
Improved Bow,Pherment,"Client, Forge","This is a bow mod that can be upgraded. At the last level, you can shoot like a machine gun, with three arrows at once, and one of them will burn"
Omotions,SpaceXVI,"Client and server, Adventure, Game Mechanics, World Generation, Forge",Introducing Omori's emotions into Minecraft!
Style Over Virtue,Galeboy,"Equipment, Game Mechanics, Data Pack, Fabric, Forge, Quilt",Gives Minecraft's Tools some style!
Spawn Eggs,DanyGames2014,"Client, Mobs, Utility, Fabric, Risugami's ModLoader","Adds spawn eggs for any entity to the game. Includes some extra tweaks such as spawning in mid-air, toggleable consumption and blacklist."
Water condenser,oierbravo,"Client and server, Utility, Forge",Simple water generator block.  Ideal for skyblock like worlds.
Ancient Return,GoldenBeetroot,"Client and server, Economy, Mobs, Utility, Forge","The Pigman is back, better than ever."
Give me more,AlmightyAnubis,"Client, Equipment, Forge",Refills your current slot with required item oder tool
Drip,Ampflower,"Server, Game Mechanics, Utility, Fabric, Quilt",A configurable dripstone mod.
Terraformed Api Reforged,trinsdar,"Client and server, Library, Forge",Port of Terraformermc's Terraform api to forge
Depths and Ores,MeowMeowBoii,"Client or server, Adventure, Mobs, World Generation, Forge","Depths and Ores adds many new ores, items, armor, weapons, blocks, mobs, bosses and so much more!  This mod was made using Mc Creator"
YDM's Custom Camera View,YourDailyModder,"Client, Utility, Forge","You can change the camera position, rotation or just make the camera stop following you."
Stairdoors,Setadokalo,"Client and server, Cursed, Decoration, Utility, Fabric",A simple mixin to allow placing doors on stairs!
"Vanilla Experience - Why not, Mojang?",AugustoResende,"Client and server, Utility, Fabric, Forge",A Vanilla compatible (Forge & Fabric) mod that reenable things and adds some vanilla kind features!
BetaFood,Nowilltolife,"Server, Food, Game Mechanics, Utility, Fabric",Server-side mod to restore the old beta food system
CombatHelp,McJty,"Client and server, Equipment, Game Mechanics, Forge",Small mod to help with combat related things in 1.9
PingCC,YMGPwcca,"Client and server, Social, Utility, Fabric",This mod brings Valorant Ping-tap system to Minecraft. Ping Circle will be implemented sometime in the near future :P
Electric Lighting,thelampsguy,"Client and server, Decoration, Technology, Forge",Lighting the Modded World with Electrified Lamps!
Simple Trade Mod,jacg311,"Server, Economy, Utility, Fabric",A serverside trading mod
NeMuelch,ShiroJR,"Client and server, Cursed, Equipment, Food, Fabric, Quilt","NeMuelch Minecraft Fabric Mod adds consumables, new recipes, player related content, admin tool items, and changes to basic minecraft behavior."
Sigma,GaBx001,"Client and server, Adventure, Game Mechanics, Magic, Fabric",Sigma is a small FabricMod that focuses around Matter and Sigmas
Conquest's Medieval Armors and Weapons,HIPPOKLEIDES,"Client and server, Equipment, Forge","Adds the medieval themed armors, weapons, shields, and 3d helmets from the Conquest Resource-pack as their own fully functional items."
XP Share,Sunroses,"Server, Utility, Fabric",Adds a command to give xp to friends!
Bagu's Cosmetic,baguchan,"Client and server, Decoration, Equipment, Forge, NeoForge",A mod made to enjoy cosmetic items on the server!
Titles,Aurilux,"Client and server, Decoration, Social, Forge","Inspired by iChun's Hats, Titles allows player earn titles which can be displayed next to their name. This is primarily through advancements."
Island Champ,sirobby,"Client, Utility, Fabric",A mod for MCC Island.
Only Need One Chest,iMoonDay,"Client and server, Storage, Fabric",Unified management of chest storage
Creatures In The Dark,JustKade,"Client and server, Mobs, Forge","Creatures that blend into the darkness, these creatures come in varying sizes to 7 block tall ones to a measly one block tall one. But Beware all creatures are dangerous and can and will kill you if given the chance."
Kanaify Mod,apple502j,"Client or server, Utility, Fabric",Romaji-to-Kana/Kanji conversion for Fabric
Le Fishe,zeotares,"Client and server, Food, Fabric",Expands fishing and aquaculture in Minecraft.
Just A Bit More Apples,littlepianist,"Client and server, Food, Fabric, Forge",This mod adds more apples in the game to enhance the player's experience with apples
Warp Pads,thatpreston,"Client and server, Adventure, Transportation, Forge",Warp Pads adds Steven Universe inspired warp pads that you can use to teleport between locations in your world!
Teleportation Potions,HyperPigeon,"Client and server, Equipment, Magic, Utility, Fabric",A mod that adds recall potions inspired by Terraria to Minecraft
QDC Transport,Dr-Sam-Right,"Client and server, Storage, Technology, Transportation, Forge","This Mod provides several nodes to allow item transport between blocks with inventories,such as furnaces and chests."
Elegant Elytras,CrowFaced,"Client and server, Equipment, Transportation, Utility, Forge",A mod that introduces Beautiful custom wings with Elytra-based flight!
RogueLite Storage,Mrbysco,"Client and server, Storage, Forge, NeoForge",Adds a safe in which items will persist between worlds
StackCalc,TomB-134,"Client, Utility, Fabric",Client side mod to quickly and easily calculate item quantities in stacks.
Glowstone Item Frames,5imModding,"Utility, Data Pack, Fabric, Forge, Quilt",Makes Glow Item Frames craftable with Glowstone.
More Bookshelves Mod,mattyeux,"Client and server, Decoration, Forge","Are you sick of vanilla bookshelves? Well, now you have bookshelves for every wood in the game!"
Road Less Traveled,NerdCraftDev,"Server, Adventure, Utility, Forge",Develop paths and generate roads just by walking!
PStone Recipes,ModrinthArchives,"Client and server, Forge",Additional recipes for Equivalent Exchange 2
Gensokyo Ontology,TheLawF,"Client and server, Adventure, Mobs, World Generation, Forge","An adventure mod derivates from the world view of Touhou Project, which add brand new dimensions and other interesting features of Gensokyo."
Lightman's Discord Integration,Lightman,"Server, Utility, Forge",Adds server chat and console access and interactions on your servers discord page!
Unlucky TNT,PhilTheBuilder1,"Client and server, Game Mechanics, Technology, Forge",A mod which adds over 40 new TNTs all with their own unique effects.
PaciCraft,TheShadowModsUK,"Client and server, Decoration, Social, World Generation, Forge","PaciCraft, a regression + mod, this is a companion mod for NappyCraft what helps with regression, adds much more like woods and foods."
3DArmory,Deavy-Hrinker,"Client and server, Equipment, Forge",A Collection of 3d Weapons
Metal Stairs,afraidmonster,"Client and server, Decoration, Utility, Fabric",Adds new Stairs and Slabs based of existing Vanilla Ores
Apathetic Mobs Reborn,embeddedt,"Server, Adventure, Utility, Fabric, Forge",Makes all hostile mobs neutral/passive.
Dimensional Bread,SWUTM,"Client and server, Adventure, Food, Magic, Fabric, Forge",Walk around the worlds with the help of an Dimensional Bread
Dragon Mounts Legacy Continued,Sunconure11,"Client and server, Mobs, Transportation, Forge",A 1.12 fork of Dragon Mounts
Whitelist Sync 2,PotatoDotJar,"Server, Utility, Forge",A mod that allows you to sync the whitelists and ops list from multiple Forge and Spigot servers together using one MySQL or SQlite database!
Better Whitelist,JFronny,"Client and server, Management, Fabric",A configurable whitelist system for Minecraft
Golem Nerf,sycamorestudios,"Game Mechanics, Mobs, Data Pack, Fabric, Forge, Quilt",Replaces iron dropped from golems with nuggets!
Theft,Rok,"Client and server, Equipment, Game Mechanics, Utility, Forge",This mod will add a tool that allow you to steal other player!
Infix,Maya,"Server, Cursed, Equipment, Utility, Fabric",Provides some fixes to the infinity enchantment.
Tbh Mod,gummydummy77,"Client and server, Mobs, Fabric",adds a tameable tbh creature *yippee*
Hullabaloo,Gitko01,"Client and server, Technology, Fabric",A random collection of things I thought would be nice to have in Minecraft
Mining Cool Down Fix [Forge],paypur,"Client and server, Utility, Forge",Removes Minecraft's minimum delay between breaking blocks
Torch Optimizer,kreezxil,"Client, Utility, Forge",Allows you to visualize the intensity of light rendered as numbers on the top of blocks. There's a default optimal indicator for light placement set for torches. It can be adjusted for other light sources. Use the square brackets to control its position.
The Dark Forest,VirtualWorkshop,"Server, Adventure, Equipment, Food, Forge",A vanilla style survival mod to make the Minecraft experience harder.
Decorative LGBT+ Wall Flags,fapdos,"Client and server, Decoration, Social, Forge",Adds decorative LGBT+ wall flags! Used only as decoration
AntiqueAtlas - RecurrentComplex Compatability,fonnymunkey,"Client and server, Adventure, Utility, Forge",Allows for structures generated by RecurrentComplex to automatically be added as a marker on AntiqueAtlas.
Unstackabundles,shardion,"Client and server, Equipment, Storage, Fabric","A Fabric mod that allows bundles to contain 4 unstackable items instead of just 1, surely solving the inventory problem"
AdiCrate,adirelle,"Client and server, Storage, Fabric",A bad clone of Storage Drawer for Fabric
Screenshot Manager,XyperCode,"Client, Utility, Fabric, Forge",Adds a menu for showing screenshots you've taken.
Kawaii Foods,TheShadowModsUK,"Client and server, Decoration, Food, Forge",Extra foods for Minecraft with a Cute Kawaii Card Collection.
Enhanced Snowmen,maxanier,"Server, Game Mechanics, Mobs, Forge","Finally, your army of snowmen is not completely useless anymore! This small mod makes snowballs thrown by snowmen cause a small amount of damage. Thereby they can finally protect themselves from these evil monsters."
Water Generator,SWUTM,"Client and server, Game Mechanics, Technology, Fabric, Forge",Add Water Generator. Create Water.
Emerald Tier,chadsten,"Client and server, Equipment, Fabric","Adds emerald tools, weapons, and armor balanced around the vanilla experience."
Advanced Nether Chest,Pretentious Kid,"Client and server, Storage, Forge",This mod adds chests from all the nether blocks to Minecraft!
Surrounding Indicators,ModdingLegacy,"Client, Decoration, Utility, Forge",An interesting health indicators mod.
You can't damage me!,Patbox,"Server, Fabric",Simple mod adding few gamerules controlling taking damage by player
Webcommands,BlauToad,"Client, Utility, Fabric",Send commands and messages from the web.
Chicken Nerf Reforged,VioletMistCloudDrift,"Server, Optimization, Utility, Forge","Prevents random chicken egg laying. Instead, breeding chickens produces eggs."
Havio's Cookbook,Havio,"Client and server, Food, Fabric, Quilt",Adds food that does its best to maintain the feeling of the vanilla game.
Springboard,Jab125,"Client and server, Cursed, Library, Fabric",A library for directly transforming Fabric Loader
Universal Grid,Ultramega,"Client and server, Storage, Technology, Transportation, Forge",Adds a Universal Grid for Refined Storage
Subspace train,lootjes,"Server, Cursed, Fabric",No longer shall our trains be restricted to a dimension
RideablePolarBears,Salandora,"Client and server, Adventure, Mobs, Transportation, Fabric, Forge, NeoForge","This mod allows you to tame, breed and ride polar bears"
Autos'n'Rails,Erdragh,"Client, Cursed, Fabric",Uses the fix for Myron and Create found in Automobility to also allow other mods having the same incompatibility to load
Woodiertexas' Desserts,woodiertexas,"Client and server, Food, Fabric",Adds various desserts to Minecraft. (Currently a placeable pumpkin pie for now)
Hide-n-Seek,qpcrummer,"Server, Minigame, Fabric, Quilt",Fabric Server Side Hide and Seek mod
Void Treasures,SWUTM,"Client and server, Fabric, Forge","The void absorbs a lot of resources, but you can get them!!!"
DoubleJump,DMK,"Server, Game Mechanics, Transportation, Utility, Bukkit, BungeeCord, Forge, Paper, Purpur, Spigot",?? Efficient double jump plugin with many features and configuration possibilities.
Chain Lead,codehz,"Server, Cursed, Utility, Fabric",Make lead chainable
Touhou Tweaks,H2Sxxa,"Client, Utility, Forge",A mod brings Touhou meme to Minecraft
Streamotes,Xspeed,"Client, Social, Fabric, Quilt","Integrate popular emote systems from your favorite streamers into Minecraft chat! Twitch, BTTV, FFZ, 7tv, now with server config support!"
Missing Links,Willatendo,"Client and server, Decoration, Forge","A mod adding stairs, slabs, walls, and other variants to blocks mojang would most likely add them too."
SpeedFOVLimiter,JustAlittleWolf,"Client, Game Mechanics, Utility, Fabric",Set limits for what speed and slowness do to your fov!
Immersive Weapons Compatibility Bridge,AnonymousHacker1279,"Client or server, Utility, Forge, NeoForge",The Immersive Weapons Compatibility Bridge adds compatibility to several mods.
Find My Quests (for Pixelmon),Waterdude,"Client or server, Adventure, Game Mechanics, Utility, Forge","Never lose track of a quest ever again, by finding it somewhere else!"
RessourcePackCommand,Nixuge,"Client, Cursed, Management, Utility, Forge",A simple legacy Forge mod to change your texture packs using chat commands
Redstone Detector,EMD123,"Client and server, Game Mechanics, Technology, Utility, Forge",Adds an advanced new redstone block capable of detecting almost anything.
?? Falling Block Tweaks,andante,"Server, World Generation, Fabric","Makes falling blocks fall when shot with a projectile, and maybe other things later..."
MouseKeyInventoryFix,Elephant1214,"Client, Utility, Fabric, Forge",Fixes the almost ten-year-old issue with mouse key binds not working in inventories.
Dyeable Netherite,gralp-1,"Client and server, Equipment, Fabric, Quilt",Adds new coloured netherite sets
Armor Set Bonuses,SpaceCat97,"Client and server, Equipment, Game Mechanics, Utility, Fabric, Forge","Adds bonuses for armor sets, and is fully customizable"
Craftable Rare Items,s.viktorka06,"Unsupported, Game Mechanics, Technology, Utility, Forge",Many uncraftable items will be craftable
Mystery Potions,lukebemish,"Client and server, Food, Magic, Forge, Quilt","Various new potions whose effects vary by world, depending on the world seed"
Spineless,bency,"Client and server, Food, Game Mechanics, Fabric",Cacti are pretty useless- let's eat them >:)
Swan's Law,SwanX1,"Server, Utility, World Generation, Forge",Discouraging strip-mining in a new way! Inspired by YUNG's Law
Jockey!,TurtleArmy,"Server, Cursed, Fabric","Hatch a chicken, ride the chicken."
Map Printer,jrmwrm,"Client, Utility, Fabric",Save maps to images (client side)
More Canvases v2,Estecka,"Client and server, Decoration, Library, Fabric",Lets you register new painting variants from a configuration file.
Server Portals,michiruf,"Server, Decoration, Transportation, Fabric","Register serverside portals, which can be built using configured blocks, items to light them up and execute a command when accessed. [vanilla compatible!]"
Simply Arrows,Darkhax,"Client and server, Equipment, Forge",Adds new arrows. What do you expect.
Common Protection API: Spawn Protection Integration,DaFuqs,"Client and server, Management, Fabric",Spawn Protection and End Portal Protection for mods supporting Common Protection API
Bed Is Not Too Far Away,Natanaelel,"Server, Game Mechanics, Fabric",Disables the annoying popup 'You may not rest now; the bed is too far away' and instead lets you sleep
Data Outside Minecraft Environment,Nozistance,"Client, Game Mechanics, Management, Utility, Fabric, Quilt",Resources Outside Minecraft Environment
Fluid Barrel,SWUTM,"Client and server, Technology, Transportation, Utility, Fabric, Forge",Adds a new iron barrel that can store liquids.
ASJCore,AlexSocol,"Client and server, Library, Optimization, Utility, Forge",Library for my mods
Several Things,J-S-S7,"Client and server, Equipment, Technology, World Generation, Forge",A mod that adds a few things...
CE's Minerals & More,CreeperEntertain,"Client and server, Adventure, Technology, World Generation, Forge","A mod that adds a lot of new biomes, minerals, farmables, tools, stone types, and much more."
No End Crystals,cootshk,"Game Mechanics, Management, Utility, Data Pack, Fabric, Quilt",Disables end crystals
Real Banhammer,halonium,"Client and server, Equipment, Management, Social, Fabric",Wield the ultimate authority! Strike players to ban them instantly and obliterate mobs with a single hit.
More Structures-(Deprecated),The-Architects727,"Server, World Generation, Fabric",Generates more of every Vanilla Structure
Refill Chests,The-Architects727,"Server, Utility, Fabric",Allows for chests to be refilled after looting
Shriekier Shriekers,OpenBagTwo,"Server, Cursed, Decoration, Game Mechanics, Fabric, Quilt",Patches sculk shriekers so that they react to non-player vibrations
Jam Mod,Syntaxerrorfile,"Client and server, Food, Fabric","A small mod adding jam and fruit related items such as toast, sandwiches, strawberries and of course jam."
Map Helpers,Maisy,"Client and server, Utility, Fabric",Adds some nice QoL things to maps.
Potion of Flight,vurro,"Client and server, Magic, Transportation, Utility, Forge",Drinking this potion allows you to fly for the duration of the potion
Electrostatic Tinker's Toys,Nayla,"Client and server, Equipment, Magic, Technology, Fabric, Forge",Powered Tinker's Tools for the OP's
Railway Decoration Blocks,samuele963,"Client and server, Decoration, Transportation, Forge","A mod adding various decorative blocks, like signs, for building train stations."
Memento Mori,stormdirus2,"Server, Cursed, Magic, Fabric",Some very opinionated balancing for Requiem.
Survival Mode,Juuz,"Client, Adventure, Game Mechanics, Fabric",Enables the survival game mode on Classic 0.30.
Extra Tooltips,joshuaepstein,"Client, Utility, Fabric, Forge",Add Tooltips to items via a config file.
Musical Allays,HyperPigeon,"Client and server, Adventure, Mobs, Utility, Fabric, Quilt",A mod that lets you play music discs on jukeboxes carried by allays!
Gluttonous Journey,JustKade,"Client and server, Cursed, Equipment, Food, Forge","A mod that adds some endgame food items into the game, as well as bosses such as the Demon of Gluttony. Defeat the demon and make the world at peace from gluttony."
Blocks You Need,Lunabups,"Client and server, Decoration, Forge",Lots of blocks that expand your build palette without much bloat!
Pink,spoorn,"Client and server, Decoration, Storage, World Generation, Fabric, Quilt",Adding cute and pink things to your world
Worker Drone Origin,Chris-The-Big,"Adventure, Game Mechanics, Technology, Data Pack, Fabric","Autonomous robots created to help their parent company, JCJenson, mine exoplanets for resources. Since the appearance of the Disassembly Drones, the Workers have fled in search for a new planet to call home."
An Orefull Lot Of Stuff (OreTastic),Gorgi,"Client and server, Equipment, Food, World Generation, Fabric","This Mod Adds New Ores, Tree Types, Food And Mobs To Minecraft"
Hollow's Survival Tweaks,bency,"Client and server, Adventure, Game Mechanics, Fabric",Are you sick of the vanilla experience?
Hardened Crops,commander,"Server, Utility, Fabric",Makes the distance needed to fall in order to trample farmland configurable.
Erbium_key_mod,inspectisside,"Client and server, Utility, Forge",le mod qui permet d'ouvrir des box sur mon serveur pvp faction
stonemultitool,lapinoe,"Client and server, Adventure, Equipment, Mobs, Forge","tool ?servant, a functional mod"
Quarry Reborn,pukkel_niklas,"Client and server, Technology, Fabric","This mod add Quarry which will mine ores in specific radius (7 by default), and consumes energy (6000 per block)"
Server Utilities,Elrol,"Server, Management, Utility, Forge","This mod adds commands, ranks, permissions, economy, and a few other features. It overhauls Minecraft and changes the permissions of commands to allow server owners to set up ranks with certain features and permissions. This also adds color codes into the game and they can be used in ranks, nicknames, and chat."
YouAreMyHatNow,deflatedpickle,"Client and server, Utility, Fabric, Quilt",Lets you put animals on your head
PlayerLadderC,Ecorous,"Client and server, Utility, Fabric, Quilt",Allows you to sit on a players head using a command. Fork of PlayerLadder
Tech Decorators,acyz520,"Client and server, Decoration, Technology, Forge",This module adds Intel and AMD processors and SSD boxes that can be decorated with this module.
MoreSpawnEggs,Ch-Mao,"Client and server, Equipment, Game Mechanics, World Generation, Fabric",Add more spawn eggs to your game
Inventory Pause (Cursed),macbrayne,"Client, Cursed, Utility, Fabric",Pause your single player game when you open your inventory.
Popup,Kaimson,"Client, Cursed, Game Mechanics, Utility, Forge",Shows popup ads
Player Search,KGriffon,"Client, Utility, Fabric","Search for a player and find his skin, his uuid, his name history..."
Nether's Exorcism,sephorusfr,"Client and server, Adventure, Mobs, World Generation, Forge",mod adding new biomes to the nether with a new exorcism mecanic coming soon
CobblePlaceholder,SkyNetCloud,"Server, Utility, Forge, Spigot",Cobblemon Placeholder Link for Papi
Map Crash Fixer,techstreetdev,"Client, Utility, Fabric",A mod to fix a 1.17.1 bug with map crashes.
Dyeable Compasses,Lemon,"Client and server, Adventure, Equipment, Utility, Fabric, Forge",Allows you to dye the compass needle to any color.
Simple Absorption,KnightMiner,"Client and server, Adventure, Game Mechanics, Forge",Simple mod granting the player absorption hearts that restore over time.
Potion of Bees,Commoble,"Client and server, Magic, Mobs, Forge, NeoForge",Adds potions of bees
SirEdvin's Cloud Solutions,SirEdvin,"Client and server, Cursed, Technology, Utility, Fabric, Forge",CC:T addons that brings some cloud services from real world into minecraft
?? Big Rat,andante,"Client and server, Cursed, World Generation, Fabric",BIG RAT
Detoaster,raumzelleth,"Client, Cursed, Utility, Fabric",A simple mod which completely disables toasts by overwriting ToastManager.
Metal Pipe,SilverAndro,"Client and server, Cursed, Equipment, Quilt",Adds a metal pipe (and sound) to the game
And There Was Only One Bed,J4gm,"Client and server, Game Mechanics, Social, Utility, Forge",Lets multiple players sleep in one bed to skip the night.
Riding Mouse Fix,JustAlittleWolf,"Client, Optimization, Fabric",Fixes the sluggishness of the mouse when riding on entities.
Pury Music Mod,GideonWhite1029,"Client and server, Adventure, Decoration, World Generation, Forge",A mod that adds custom records with tracks by the band Pury World
Don't Make Me Turn This Boat Around,Mrbysco,"Client and server, Game Mechanics, Fabric, Forge, NeoForge",Rotate the boat to face the direction you were facing
Pride Sheep,IFedor-F,"Cursed, Magic, Mobs, Data Pack, Fabric, Forge, Quilt",A unique datapack that makes sheep pride!
Gamemodes,ENDERZOMBI102,"Server, Fabric",Play some strange and fun gamemodes with friends!
Eat everything,Awakened-Redstone,"Client and server, Cursed, Fabric",Makes most items eatable
fierimod,NotNarwhal-star,"Client, Cursed, Magic, Forge","the gui fieri biome, mob, and a few fieri related items"
More Equipment,alazeprt,"Client and server, Equipment, Forge",A mod with many equipment added
ChestShop (Fabric),Isaiah,"Server, Economy, Game Mechanics, Storage, Fabric",A simple mod that adds chest powered shops.
Token Enchanter,SilentChaos512,"Client and server, Equipment, Magic, Forge",Alternative enchanting items
Caveopolis Mod,benbenlaw,"Client and server, Decoration, Forge",Mod mainly used for caveopolis modpack
Simple Displays,n1n,"Decoration, Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt",A datapack that makes Display Entity Placement and Simple Modifications Easier.
Inventory Maker,hoid2,"Server, Storage, Utility, Fabric",Allows inventories to be created using commands.
BronySpecs (for Pixelmon),Hacko,"Server, Game Mechanics, Management, Utility, Forge",Additional PokŽmon Specifications for Pixelmon Reforged!
Enszykum,gotitim,"Client and server, Cursed, Equipment, Magic, Fabric",A new ender material
Delayed Respawn,stonelabs,"Server, Game Mechanics, Fabric",Fabric mod to delay respawns (semi hardcore so to speak)
akkamaddi's Sterling and Black,Sinhika,"Client and server, Decoration, Equipment, Forge, NeoForge","SimpleOres add-on: adds two silver alloys, Sterling Steel and Black Silver"
Pickable Health Orbs,cojalexandru,"Client and server, Adventure, Game Mechanics, Utility, Forge",Ever wanted RPG styled configurable pickups? Here they are!
Copper Tools,astavie,"Client and server, Equipment, Utility, Fabric",Adds copper tools to Minecraft
WhatsUp,lukebemish,"Server, Library, Management, Utility, Forge, Quilt",Allows datapacks to query external APIs and run functions based on the result
JourneyMapStages,Darkhax,"Client and server, Utility, Forge",Allows the JourneyMap mod to be staged with GameStages
Leveling Armor,SWUTM,"Client and server, Equipment, Game Mechanics, Utility, Forge",Adds a gradual leveling of the tool with the number of atacked blocks.
Combo Sword,IeFHC233,"Client and server, Equipment, Game Mechanics, Technology, Fabric, Forge","This mod adds a sword that has 2 points of attack speed instead 1,6, which is big difference. If in second hand gives haste 2"
HO-Library,Chemiofitor,"Client and server, Library, Fabric",A lib mod
Essentially Emerald,ZaThrint,"Client and server, Equipment, Fabric, Forge","Adds vanilla-friendly, emerald tools and armor to Minecraft."
Percy Jackson Weapons & More Mod,jcougar,"Client and server, Equipment, Food, Forge",This a mod based on the Percy Jackson book series by Rick Riordan. The mod includes tools and armor as well as two unique food types from books. The mod enables players to role-play as Percy Jackson and other characters. Any suggestions for it are welcome!
Harvestable Flowers,Ghost,"Client and server, Fabric",Harvestable Flowers allows you to get flowers by using bone meal on it.
Dynamic Crops,dimondking2016,"Client and server, Game Mechanics, Management, Utility, Forge",Crops can now spread!
MoreMetals,redgrapefruit09,"Client and server, Adventure, Utility, Fabric",You guessed it! It adds metals!
Vanilla Shears,Apis035,"Client and server, Equipment, Utility, Fabric",Adds more shears using vanilla tool materials
Technoblade,TechGeekUnited,"Client and server, Magic, Fabric, Forge, Quilt",This Mod Adds Technoblade to The Game... May He Live Forever.
Kofta Furniture,zhmed,"Client or server, Decoration, Forge",This mod adds furniture and also vertical slabs
Candy World - ReCaramelized,Mrbysco,"Client and server, Food, World Generation, Forge",Adds various food items to the game through world generation & a new dimension
Painted Biomes,masa,"Server, World Generation, Forge",Painted Biomes allows using image templates for the world's biome layout
The Lunar Undead [TLU],Ali107,"Client and server, Equipment, Magic, Mobs, Forge","The Lunar Undead or TLU for short, is a horror mod in which your goal is to become the Lunar King."
Poscendo,MiteBeMana,"Client, Equipment, Utility, Forge",A configurable client-side mod making various tweaks to potions.
Hit Streak,ItsGreenFire,"Client and server, Utility, Forge",Keeps track of how many times you have consecutively hit an entity without being hurt.
Packy,notnite,"Server, Storage, Quilt","Backpacks that let you access your ender chest, anywhere."
Bag of Yurting,Commoble,"Client and server, Magic, Storage, Transportation, Forge, NeoForge",Adds an upgradable bag that can store and unload your favorite yurts
Minimal Coords HUD,renapti,"Client, Utility, Fabric",Gives a simple coordinates display and lets you copy them to the clipboard -- that's it!
aeiou,walksanatora,"Client and server, Cursed, Fabric",Adds funny TTS to minecraft server (or client if you are willing to set it up)
HybridLib,HybridAvenger69,"Client and server, Forge",A Library Mod for the MassTech Mods
ExNihilo: Automation Unstable,kreezxil,"Client and server, Technology, Utility, Forge",allowing the use of later forge and later ExNihilo: Sequentia at the expense of instability.
Mooojaaang...,thePlaceholder,"Client, Cursed, Utility, Fabric, Forge, Quilt",The Mod that Brings Back the Intro Theme from April Fools' Updates
Vanilla Overhaul,lucaswarwick02,"Client or server, Fabric",A Minecraft (Fabric) mod improving the basic aspects of the game.
Synthesizer,Sammcb,"Client and server, Magic, Technology, Utility, Quilt",Overpowered resource synthesis
MillŽnaire Extended,LaikaIvanova,"Client and server, Adventure, Forge",Additional village buildings and tradeable items for MillŽnaire.
Death Commands,NotCoded,"Client or server, Management, Utility, Fabric",Sends a message (or command) whenever you respawn/die.
Fireman,alurienflame,"Client, Utility, Fabric",Adds a hotkey that toggles instantly punching out all fires in reach.
Mudrock,Flamarine,"Client and server, Library, Utility, Fabric",Elegant library for specific projects of Intelligent Creations
Mim1q's Derelict,mim1q,"Client and server, Adventure, Decoration, Fabric","All that's spooky, abandoned and taken over by nature"
Japanese IME (JIME),aratakileo,"Client, Management, Social, Utility, Fabric, Quilt","??MOD?????????????IME?????????????????????????????????????????????The mod adds an IME for Japanese language to the game. When you enter text in romaji in the chat, the mod will offer you suggestions in kanji and hiragana."
HaywenCollection,NethanialChorus,"Client and server, Utility, Fabric","This is a collections mod for use on the HaywenSMP modpacks. It has custom music, items and blocks."
"MORE ITEMS,MOBS,DIMENSIONS",Niepokonany243,"Client or server, Equipment, Forge","STOP SCROOLING! AND CHECK IT!  it adds More Weapons,dimensions,biomes,foods,armors,blocks,mobs,structures...."
Amethyst Tools,DoggyK9,"Client and server, Equipment, Fabric",This mod adds Amethyst Tools in a unique and vanilla friendly way.
Slime Golems,Kinomora,"Client and server, Magic, Utility, Forge",Adds new golems to the game made out of slime
Bad guy hoglin,Hoglin100,"Client or server, Fabric, Forge",Mod added mobs and weapons armor and more!
Trails and Nails,RealSkullface,"Client and server, Cursed, Food, Game Mechanics, Forge","Hello, player! Welcome to Trails and Nails, a mod focused on a new resource - fingernails!"
Moon Info,yanvaa,"Client, Utility, Fabric",Minecraft mod to display information about the state of the moon
HungryPigs,deflatedpickle,"Client and server, Cursed, Food, Fabric, Quilt",Causes pigs to eat food items on the floor
Stemaria,Dalarion,"Client and server, Adventure, Magic, Fabric",This mod adds new item and block to cultive resources as blocks
Grisha [Minecraft Mod],thenikidemus,"Client and server, Adventure, Magic, World Generation, Fabric","This mod brings the magic system of the Shadow and Bone Netflix series, and the books it is inspired by, into Minecraft."
MissionNotPossible,theRookieCoder,"Server, Cursed, Equipment, Mobs, Fabric",A crazy mod that makes Minecaft basically impossible to play
NoMo' Portals,Eruannie_9,"Client and server, Game Mechanics, Management, Utility, Forge",Disables Nether and End portals.
Banners4BM,nincodedo,"Server, Game Mechanics, Utility, Fabric",Adds banners to BlueMap when players add banners to maps in game.
Clustersback,hugeblank,"Client and server, Adventure, Fabric",Backports the raw iron/gold clusters and blocks of 1.17+ to 1.16.5
